Test,Frequency,Fixtures
All_Freq_No_Flow_contact_4d1,f100,14.78073994
All_Freq_No_Flow_contact_4d1,f125,15.95266629
All_Freq_No_Flow_contact_4d1,f160,19.30199597
All_Freq_No_Flow_contact_4d1,f200,18.69386465
All_Freq_No_Flow_contact_4d1,f250,20.81999284
All_Freq_No_Flow_contact_4d1,f315,15.3365524
All_Freq_No_Flow_contact_4d1,f400,12.23930578
All_Freq_No_Flow_contact_4d1,f500,9.807194004
All_Freq_No_Flow_contact_4d1,f630,13.64533005
All_Freq_No_Flow_contact_4d1,f800,6.007249581
All_Freq_No_Flow_contact_4d1,f1000,3.948723185
All_Freq_No_Flow_contact_4d1,f1250,3.213274388
All_Freq_No_Flow_contact_4d1,f1600,2.548857931
All_Freq_No_Flow_contact_4d1,f2000,2.422903594
All_Freq_No_Flow_contact_4d1,f2500,2.173527708
All_Freq_No_Flow_contact_4d1,f3100,2.11474911
All_Freq_No_Flow_contact_4d1,f4000,1.703906041
All_Freq_No_Flow_contact_4d1,f5000,1.358142336
All_Freq_No_Flow_contact_4d1,f6300,1.104187521
All_Freq_No_Flow_contact_4d1,f8000,1.619934056
All_Freq_No_Flow_contact_4d1,f10000,5.399742615
All_Freq_No_Flow_ambient_4d1,f25,10.30238451
All_Freq_No_Flow_ambient_4d1,f31_5,7.88913393
All_Freq_No_Flow_ambient_4d1,f40,7.956747146
All_Freq_No_Flow_ambient_4d1,f50,10.22739284
All_Freq_No_Flow_ambient_4d1,f63,8.863362791
All_Freq_No_Flow_ambient_4d1,f80,10.6941328
All_Freq_No_Flow_ambient_4d1,f100,10.55934341
All_Freq_No_Flow_ambient_4d1,f125,7.924714831
All_Freq_No_Flow_ambient_4d1,f160,7.862341187
All_Freq_No_Flow_ambient_4d1,f200,7.175842372
All_Freq_No_Flow_ambient_4d1,f250,6.77696924
All_Freq_No_Flow_ambient_4d1,f315,6.87603694
All_Freq_No_Flow_ambient_4d1,f400,6.774045567
All_Freq_No_Flow_ambient_4d1,f500,6.732498602
All_Freq_No_Flow_ambient_4d1,f630,6.844842158
All_Freq_No_Flow_ambient_4d1,f800,6.163158266
All_Freq_No_Flow_ambient_4d1,f1000,5.948863761
All_Freq_No_Flow_ambient_4d1,f1250,6.291682246
All_Freq_No_Flow_ambient_4d1,f1600,6.643585625
All_Freq_No_Flow_ambient_4d1,f2000,7.320245048
All_Freq_No_Flow_ambient_4d1,f2500,7.907018437
All_Freq_No_Flow_ambient_4d1,f3100,8.697800342
All_Freq_No_Flow_ambient_4d1,f4000,9.323971333
All_Freq_No_Flow_ambient_4d1,f5000,9.976469496
All_Freq_No_Flow_ambient_4d1,f6300,11.64970663
All_Freq_No_Flow_ambient_4d1,f8000,12.03623547
All_Freq_No_Flow_ambient_4d1,f10000,9.990188598
All_Freq_No_Flow_contact_4d2,f25,12.74842747
All_Freq_No_Flow_contact_4d2,f31_5,10.11558243
All_Freq_No_Flow_contact_4d2,f40,9.916184332
All_Freq_No_Flow_contact_4d2,f50,13.22930435
All_Freq_No_Flow_contact_4d2,f63,13.72792937
All_Freq_No_Flow_contact_4d2,f80,14.853454
All_Freq_No_Flow_contact_4d2,f100,14.49940313
All_Freq_No_Flow_contact_4d2,f125,15.47852631
All_Freq_No_Flow_contact_4d2,f160,18.75737132
