Test,Frequency,Fixtures
Lav_Faucet_Ambient_Tst_1c,f50,13.15025107
Lav_Faucet_Ambient_Tst_1c,f63,13.9446447
Lav_Faucet_Ambient_Tst_1c,f80,10.21259336
Lav_Faucet_Ambient_Tst_1c,f100,8.448690381
Lav_Faucet_Ambient_Tst_1c,f125,7.871445057
Lav_Faucet_Ambient_Tst_1c,f160,5.22338981
Lav_Faucet_Ambient_Tst_1c,f200,6.464154957
Lav_Faucet_Ambient_Tst_1c,f250,8.221089722
Lav_Faucet_Ambient_Tst_1c,f315,3.360046587
Lav_Faucet_Ambient_Tst_1c,f400,3.85241016
Lav_Faucet_Ambient_Tst_1c,f500,3.796888447
Lav_Faucet_Ambient_Tst_1c,f630,3.124844529
Lav_Faucet_Ambient_Tst_1c,f800,3.845315698
Lav_Faucet_Ambient_Tst_1c,f1000,3.014056196
Lav_Faucet_Ambient_Tst_1c,f1250,3.084409551
Lav_Faucet_Ambient_Tst_1c,f1600,2.702583479
Lav_Faucet_Ambient_Tst_1c,f2000,2.99274441
